CODE	KOREAN_LABEL	ENGLISH_LABEL
M8000/0	양성 신생물	Neoplasm, benign
M8000/1	양성 또는 악성이 불확실한 신생물	Neoplasm, uncertain whether benign or malignant
M8000/3	악성 신생물	Neoplasm, malignant
M8000/6	전이성 신생물	Neoplasm, metastatic
M8001/0	양성종양세포	Tumour cells, benign
M8001/1	양성 또는 악성이 불확실한 종양세포	Tumour cells, uncertain whether benign or malignant
M8001/3	악성종양세포	Tumour cells, malignant
M8002/3	소세포형의 악성종양	Malignant tumour, small cell type
M8003/3	거대세포형의 악성종양	Malignant tumour, giant cell type
M8004/3	방추세포형의 악성종양	Malignant tumour, spindle cell type
M8005/0	투명세포 종양, NOS	Clear cell tumour NOS
M8005/3	투명세포형의 악성종양	Malignant tumour, clear cell type
M8010/0	양성 상피성 종양	Epithelial tumour, benign
M8010/2	상피내 암종, NOS	Carcinoma in situ NOS
M8010/3	암종, NOS	Carcinoma NOS
M8010/6	전이성 암종, NOS	Carcinoma, metastatic NOS
M8011/0	양성 상피종	Epithelioma, benign
M8011/3	악성 상피종	Epithelioma, malignant
M8012/3	대세포 암종, NOS	Large cell carcinoma NOS
M8013/3	대세포 신경내분비 암종	Large cell neuroendocrine carcinoma
M8014/3	간상 표현형을 동반한 대세포 암종	Large cell carcinoma with rhabdoid phenotype
M8015/3	유리세포 암종	Glassy cell carcinoma
M8020/3	미분화된 암종, NOS	Carcinoma, undifferentiated NOS
M8021/3	역형성의 암종, NOS	Carcinoma, anaplastic NOS
M8022/3	다형성 암종	Pleomorphic carcinoma
M8023/3	고환내 핵 단백질(NUT) 관련 암종	Nuclear protein in testis(NUT) associated carcinoma
M8030/3	거대세포 및 방추세포 암종	Giant cell and spindle cell carcinoma
M8031/3	거대세포 암종	Giant cell carcinoma
M8032/3	방추세포 암종, NOS	Spindle cell carcinoma NOS
M8033/3	가육종성 암종	Pseudosarcomatous carcinoma
M8034/3	다각형세포 암종	Polygonal cell carcinoma
M8035/3	파골(뼈 파괴)세포 유사 거대세포를 동반한 암종	Carcinoma with osteoclast-like giant cells
M8040/0	양성 소종양	Tumorlet, benign
M8040/1	소종양, NOS	Tumorlet NOS
M8041/3	소세포 암종, NOS	Small cell carcinoma NOS
M8042/3	귀리세포 암종	Oat cell carcinoma
M8043/3	방추세포형 소세포 암종	Small cell carcinoma, fusiform cell
M8044/3	중간세포형 소세포 암종	Small cell carcinoma, intermediate cell
M8045/3	복합형 소세포 암종	Combined small cell carcinoma
M8046/3	비소세포 암종	Non-small cell carcinoma
M8050/0	유두종(방광의 M8120/0 제외), NOS	Papilloma(except of bladder M8120/0) NOS
M8050/2	유두상 상피내 암종	Papillary carcinoma in situ
M8050/3	유두상 암종(갑상선의 M8260/3 제외), NOS	Papillary carcinoma(except of thyroid M8260/3) NOS
M8051/0	사마귀모양의 유두종	Verrucous papilloma
M8051/3	사마귀모양의 암종, NOS	Verrucous carcinoma NOS
M8052/0	편평세포 유두종, NOS	Squamous cell papilloma NOS
M8052/2	유두상 편평세포 암종, 비침범성	Papillary squamous cell carcinoma, non-invasive
M8052/3	유두상 편평세포 암종	Papillary squamous cell carcinoma
M8053/0	도립형 편평세포 유두종	Squamous cell papilloma, inverted
M8054/0	사마귀모양 이상각화종	Warty dyskeratoma
M8054/3	사마귀모양 암종	Warty carcinoma
M8060/0	편평 유두종증	Squamous papillomatosis
M8070/2	편평세포 상피내 암종, NOS	Squamous cell carcinoma in situ NOS
M8070/3	편평세포 암종, NOS	Squamous cell carcinoma NOS
M8070/6	전이성 편평세포 암종, NOS	Squamous cell carcinoma, metastatic NOS
M8071/3	케라틴화형 편평세포 암종, NOS	Squamous cell carcinoma, keratinizing NOS
M8072/0	대세포 극세포종	Large cell acanthoma
M8072/3	비케라틴화형 대세포 편평세포 암종, NOS	Squamous cell carcinoma, large cell, non-keratinizing NOS
M8073/3	비케라틴화형 소세포 편평세포 암종	Squamous cell carcinoma, small cell, non-keratinizing
M8074/3	방추세포 편평세포 암종	Squamous cell carcinoma, spindle cell
M8075/3	아데노이드 편평세포 암종	Squamous cell carcinoma, adenoid
M8076/2	간질침범의 의심이 있는 편평세포 상피내 암종	Squamous cell carcinoma in situ with questionable stromal invasion
M8076/3	미세침범의 편평세포 암종	Squamous cell carcinoma, microinvasive
M8077/0	편평 상피내 신생물, 저등급	Squamous intraepithelial neoplasia, low grade
M8077/2	편평 상피내 신생물, 고등급	Squamous intraepithelial neoplasia, high grade
M8078/3	각 형성을 동반한 편평세포 암종	Squamous cell carcinoma with horn formation
M8080/2	케이라홍색형성증	Queyrat erythroplasia
M8081/2	보웬병	Bowen disease
M8082/3	림프상피성 암종	Lymphoepithelial carcinoma
M8083/3	기저세포모양 편평세포 암종	Basaloid squamous cell carcinoma
M8084/0	투명세포 극세포종	Clear cell acanthoma
M8084/3	투명세포형 편평세포 암종	Squamous cell carcinoma, clear cell type
M8085/3	편평세포 암종, 사람유두종바이러스(HPV)양성	Squamous cell carcinoma, HPV positive
M8086/3	편평세포 암종, 사람유두종바이러스(HPV)음성	Squamous cell carcinoma, HPV negative
M8090/1	기저세포 종양	Basal cell tumour
M8090/3	기저세포 암종(전립선의 M8147/3 제외), NOS	Basal cell carcinoma(except of prostate M8147/3), NOS
M8091/3	표재성 기저세포 암종	Superficial basal cell carcinoma
M8092/3	침윤성 기저세포 암종, NOS	Infiltrating basal cell carcinoma, NOS
M8093/3	섬유상피성 기저세포 암종	Basal cell carcinoma, fibroepithelial
M8094/3	기저편평세포 암종	Basosquamous carcinoma
M8095/3	변형성 암종	Metatypical carcinoma
M8096/0	야다손의 표피내 상피종	Intraepidermal epithelioma of Jadassohn
M8097/3	결절성 기저세포 암종	Basal cell carcinoma, nodular
M8098/3	아데노이드 기저 암종	Adenoid basal carcinoma
M8100/0	모상피종	Trichoepithelioma
M8100/3	모모세포성 암종	Trichoblastic carcinoma
M8101/0	모낭종	Tricofolliculoma
M8102/0	모초종	Trichilemmoma
M8102/3	모초암종	Trichilemmocarcinoma
M8103/0	모의 종양	Pilar tumour
M8103/1	증식성 털집 낭	Proliferating trichilemmal cyst
M8104/0	털집 극세포종	Pilar sheath acanthoma
M8110/0	털바탕질종, NOS	Pilomatricoma, NOS
M8110/3	털바탕질성 암종	Pilomatrical carcinoma
M8120/0	요로상피성 유두종, NOS	Urothelial papilloma, NOS
M8120/2	요로상피성 상피내 암종	Urothelial carcinoma in situ
M8120/3	이행세포 암종, NOS	Transitional cell carcinoma, NOS
M8121/0	외향성 비부비동 유두종	Sinonasal papilloma, exophytic
M8121/1	도립형 비부비동 유두종	Sinonasal papilloma, inverted
M8121/3	시나이더 암종	Schneiderian carcinoma
M8122/3	육종모양 요로상피성 암종	Urothelial carcinoma, sarcomatoid
M8123/3	기저세포모양 암종	Basaloid carcinoma
M8124/3	배출강기원성 암종	Cloacogenic carcinoma
M8130/1	저악성 잠재성의 유두상 요로상피성 신생물	Papillary urothelial neoplasm of low malignant potential
M8130/2	비침범성 유두상 요로상피성 암종	Papillary urothelial carcinoma, non-invasive
M8130/3	유두상 요로상피 암종	Papillary urothelial carcinoma
M8131/3	미세유두상 요로상피성 암종	Urothelial carcinoma, micropapillary
M8140/0	선종(뇌하수체의 M8272/0, 유두의 M8506/0, 난소망의 M9110/0 제외), NOS	Adenoma(except of pituitary M8272/0 or nipple M8506/0 or rete ovarii M9110/0), NOS
M8140/1	비정형적 선종	Atypical adenoma
M8140/2	상피내 선암종 NOS	Adenocarcinoma in situ, NOS
M8140/3	선암종(항문선/관의 M8215/3 및 난소망의 M9110/3제외), NOS	Adenocarcinoma(except of anal glands/ducts M8215/3 or rete ovarii M9110/3), NOS
M8140/6	전이성 선암종, NOS	Adenocarcinoma, metastatic, NOS
M8141/3	경성 선암종	Scirrhous adenocarcinoma
M8142/3	증식성 위벽염	Linitis plastica
M8143/3	표재성 확산성 선암종	Superficial spreading adenocarcinoma
M8144/0	창자형 선종	Adenoma, intestinal type
M8144/3	창자형 선암종	Adenocarcinoma, intestinal type
M8145/3	미만형 암종	Carcinoma, diffuse type
M8146/0	단형성 선종	Monomorphic adenoma
M8147/0	기저세포 선종	Basal cell adenoma
M8147/3	기저세포 선암종	Basal cell adenocarcinoma
M8148/2	선의 상피내 신생물, 고등급	Glandular intraepithelial neoplasia, high grade
M8149/0	소관 선종	Canalicular adenoma
M8150/0	췌장의 신경내분비 미세선종	Pancreatic neuroendocrine microadenoma
M8150/3	비기능성 췌장의 신경내분비 종양	Pancreatic neuroendocrine tumor, nonfunctioning
M8151/3	인슐린종, NOS	Insulinoma, NOS
M8152/3	글루카곤종	Glucagonoma
M8153/3	가스트린종	Gastrinoma
M8154/3	혼합형 신경내분비 비-신경내분비 신생물(MiNEN)	Mixed neuroendocrine non-neuroendocrine neoplasm(MiNEN)
M8155/3	혈관활성-장 폴리펩타이드(VIP)종, NOS	Vipoma, NOS
M8156/3	소마토스타틴종	Somatostatinoma
M8158/3	부신피질자극호르몬(ACTH) 분비성 종양	ACTH-producing tumor
M8160/0	쓸개관(담관) 선종	Bile duct adenoma
M8160/3	담관 암종	Cholangiocarcinoma
M8161/0	쓸개관(담관) 낭선종	Bile duct cystadenoma
M8161/3	쓸개관(담관) 낭선암종	Bile duct cystadenocarcinoma
M8162/3	간문부 담관암종	Perihilar cholangiocarcinoma
M8163/0	췌담도의 신생물, 비침범성	Pancreatobiliary neoplasm, non-invasive
M8163/2	고등급 상피내 신생물이 동반된 췌담도형의 유두상 신생물	Papillary neoplasm, pancreatobiliary type, with high grade intraepithelial neoplasia
M8163/3	췌담도형 암종	Pancreatobiliary type, carcinoma
M8170/0	간세포 선종	Liver cell adenoma
M8170/3	간세포성 암종, NOS	Hepatocellular carcinoma, NOS
M8171/3	섬유층판성 간세포성 암종	Hepatocellular carcinoma, fibrolamellar
M8172/3	경성 간세포성 암종	Hepatocellular carcinoma, scirrhous
M8173/3	방추세포 변종 간세포성 암종	Hepatocellular carcinoma, spindle cell variant
M8174/3	투명세포형 간세포성 암종	Hepatocellular carcinoma, clear cell type
M8175/3	다형성형 간세포성 암종	Hepatocellular carcinoma, pleomorphic type
M8180/3	혼합 간세포성 암종 및 담관암종	Combined hepatocellular carcinoma and cholangiocarcinoma
M8190/0	섬유주 선종	Trabecular adenoma
M8190/3	섬유주 선암종	Trabecular adenocarcinoma
M8191/0	배아형 선종	Embryonal adenoma
M8200/0	외분비성 피부 원주종	Eccrine dermal cylindroma
M8200/3	아데노이드 낭성 암종	Adenoid cystic carcinoma
M8201/2	사상의 상피내 암종	Cribriform carcinoma in situ
M8201/3	사상의 암종, NOS	Cribriform carcinoma, NOS
M8202/0	미세낭성 선종	Microcystic adenoma
M8204/0	수유 선종	Lactating adenoma
M8210/0	선종성 폴립, NOS	Adenomatous polyp, NOS
M8210/2	선종성 폴립내의 상피내 선암종	Adenocarcinoma in situ in adenomatous polyp
M8210/3	선종성 폴립내의 선암종	Adenocarcinoma in adenomatous polyp
M8211/0	관상 선종, NOS	Tubular adenoma, NOS
M8211/3	관상 선암종	Tubular adenocarcinoma
M8212/0	편평 선종	Flat adenoma
M8213/0	톱니모양 선종, NOS	Serrated adenoma, NOS
M8213/3	톱니모양 선암종	Serrated adenocarcinoma
M8214/3	벽세포 암종	Parietal cell carcinoma
M8215/3	항문샘의 선암종	Adenocarcinoma of anal glands
M8220/0	선종성 결장 폴립증	Adenomatous polyposis coli
M8220/3	선종성 결장 폴립증내의 선암종	Adenocarcinoma in adenomatous polyposis coli
M8221/0	다발성 선종성 폴립	Multiple adenomatous polyps
M8221/3	다발성 선종성 폴립내의 선암종	Adenocarcinoma in multiple adenomatous polyps
M8230/2	고형 관상 상피내 암종	Ductal carcinoma in situ, solid type
M8230/3	고형 암종, NOS	Solid carcinoma, NOS
M8231/3	단순 암종	Carcinoma simplex
M8240/3	신경내분비 종양, NOS	Neuroendocrine tumor, NOS
M8241/3	장크롬 친화성 세포 카르시노이드	Enterochromaffin cell carcinoid
M8242/3	장크롬 친화성 유사세포 종양	Enterochromaffin-like cell tumor
M8243/3	배상세포 카르시노이드	Goblet cell carcinoid
M8244/3	혼합된 선내분비 암종	Mixed adenoneuroendocrine carcinoma
M8245/1	관상 카르시노이드	Tubular carcinoid
M8245/3	선카르시노이드 종양	Adenocarcinoid tumour
M8246/3	신경내분비 암종, NOS	Neuroendocrine carcinoma, NOS
M8247/3	메르켈세포 암종	Merkel cell carcinoma
M8248/1	APUD종	Apudoma
M8249/3	신경내분비 종양, 등급 2	Neuroendocrine tumor, grade 2
M8250/1	폐선종증	Pulmonary adenomatosis
M8250/2	비점액성 폐의 상피내 선암종	Adenocarcinoma in situ of lung, non-mucinous
M8250/3	비늘모양 선암종	Lepidic adenocarcinoma
M8251/0	포상 선종	Alveolar adenoma
M8251/3	포상 선암종	Alveolar adenocarcinoma
M8252/3	비점액성 기관세지-폐포성 암종	Bronchiolo-alveolar carcinoma, non-mucinous
M8253/2	점액성 폐의 상피내 선암종	Adenocarcinoma in situ of lung, mucinous
M8253/3	점액성 폐의 선암종	Adenocarcinoma of lung, mucinous
M8254/3	혼합된 점액성 및 비점액성 폐의 선암종	Adenocarcinoma of lung, mixed mucinous and non-mucinous
M8255/3	혼합 아형을 동반한 선암종	Adenocarcinoma with mixed subtypes
M8256/3	비점액성 최소 침범 선암종	Minimally invasive adenocarcinoma, non-mucinous
M8257/3	점액성 최소 침범 선암종	Minimally invasive adenocarcinoma, mucinous
M8260/0	유두상 선종, NOS	Papillary adenoma, NOS
M8260/1	공격성 유두상 종양	Aggressive papillary tumor
M8260/3	유두상 선암종, NOS	Papillary adenocarcinoma, NOS
M8261/0	융모상 선종, NOS	Villous adenoma, NOS
M8261/2	융모상 선종내의 상피내 선암종	Adenocarcinoma in situ in villous adenoma
M8261/3	융모상 선종내의 선암종	Adenocarcinoma in villous adenoma
M8262/3	융모상 선암종	Villous adenocarcinoma
M8263/0	관상융모상 선종, NOS	Tubulovillous adenoma, NOS
M8263/2	관상융모상 선종내의 상피내 선암종	Adenocarcinoma in situ in tubulovillous adenoma
M8263/3	관상융모상 선종내의 선암종	Adenocarcinoma in tubulovillous adenoma
M8264/0	선성 유두종증	Papillomatosis, glandular
M8265/3	미세유두상 암종, NOS	Micropapillary carcinoma, NOS
M8270/0	혐색소성 선종	Chromophobe adenoma
M8270/3	혐색소성 암종	Chromophobe carcinoma
M8271/0	락토트로프 선종	Lactotroph adenoma
M8272/0	뇌하수체 선종, NOS	Pituitary adenoma, NOS
M8272/3	뇌하수체 암종, NOS	Pituitary carcinoma, NOS
M8273/3	뇌하수체 모세포종	Pituitary blastoma
M8280/0	호산성 선종	Acidophil adenoma
M8280/3	호산성 암종	Acidophil carcinoma
M8281/0	혼합형 호산성-호염기성 선종	Mixed acidophil-basophil adenoma
M8281/3	혼합형 호산성-호염기성 암종	Mixed acidophil-basophil carcinoma
M8290/0	호산세포성 선종	Oxyphilic adenoma
M8290/3	호산세포성 선암종	Oxyphilic adenocarcinoma
M8300/0	호염기성 선종	Basophil adenoma
M8300/3	호염기성 암종	Basophil carcinoma
M8310/0	투명세포 선종	Clear cell adenoma
M8310/3	투명세포 선암종, NOS	Clear cell adenocarcinoma, NOS
M8311/1	고신장형 종양	Hypernephroid tumour
M8311/3	유전성 평활근종증 및 신장세포 암종(HLRCC) 관련 신장세포 암종	Hereditary leiomyomatosis and renal cell carcinoma(HLRCC)syndrome-associated renal cell carcinoma
M8312/3	신장세포 암종, NOS	Renal cell carcinoma, NOS
M8313/0	투명세포 선섬유종	Clear cell adenofibroma
M8313/1	투명세포 경계형 종양	Clear cell borderline tumor
M8313/3	투명세포 선암섬유종	Clear cell adenocarcinofibroma
M8314/3	지방-과다 암종	Lipid-rich carcinoma
M8315/3	글리코겐-과다 암종	Glycogen-rich carcinoma
M8316/1	저악성 잠재성의 다방성 낭성 신장 신생물	Multilocular cystic renal neoplasm of low malignant potential
M8316/3	낭-관련 신장세포 암종	Cyst-associated renal cell carcinoma
M8317/3	혐색소형 신장세포 암종	Renal cell carcinoma, chromophobe type
M8318/3	육종모양 신장세포 암종	Renal cell carcinoma, sarcomatoid
M8319/3	집합관 암종	Collecting duct carcinoma
M8320/3	과립세포 암종	Granular cell carcinoma
M8321/0	주세포 선종	Chief cell adenoma
M8322/0	물-투명세포 선종	Water-clear cell adenoma
M8322/3	물-투명세포 선암종	Water-clear cell adenocarcinoma
M8323/0	혼합세포 선종	Mixed cell adenoma
M8323/1	투명세포 유두상 신장세포 암종	Clear cell papillary renal cell carcinoma
M8323/3	혼합세포 선암종	Mixed cell adenocarcinoma
M8324/0	지방선종	Lipoadenoma
M8325/0	뒤콩팥(후신) 선종	Metanephric adenoma
M8330/0	소포성 선종, NOS	Follicular adenoma, NOS
M8330/1	비정형적 소포성 선종	Atypical follicular adenoma
M8330/3	소포성 암종, NOS	Follicular carcinoma, NOS
M8331/3	고분화된 소포성 선암종	Follicular adenocarcinoma, well differentiated
M8332/3	섬유주 소포성 선암종	Follicular adenocarcinoma, trabecular
M8333/0	미세소포성 선종, NOS	Microfollicular adenoma, NOS
M8333/3	태아 선암종	Fetal adenocarcinoma
M8334/0	대소포성 선종	Macrofollicular adenoma
M8335/1	불확실한 악성 잠재성의 소포성 종양	Follicular tumor of uncertain malignant potential
M8335/3	최소 침범 소포성 암종	Follicular carcinoma, minimally invasive
M8336/1	유리질화 섬유주 종양	Hyalinizing trabecular tumor
M8337/3	소분화된 갑상선 암종	Poorly differentiated thyroid carcinoma
M8339/3	피막형성형 혈관침습성 소포성 암종	Follicular carcinoma, encapsulated, angio invasive
M8340/3	소포성 변종성 유두상 암종	Papillary carcinoma, follicular variant
M8341/3	유두상 미세암종	Papillary microcarcinoma
M8342/3	종양세포성 변형 유두상 암종	Papillary carcinoma, oncocytic variant
M8343/3	갑상선의 피막형성형 유두상 암종	Papillary carcinoma, encapsulated of thyroid
M8344/3	원주세포 유두상 암종	Papillary carcinoma, columnar cell
M8345/3	수질성 갑상선 암종	Medullary thyroid carcinoma
M8346/3	혼합 수질성-소포성 암종	Mixed medullary-follicular carcinoma
M8347/3	혼합 수질성-유두상 암종	Mixed medullary-papillary carcinoma
M8348/1	불확실한 악성 잠재성의 고분화된 종양	Well differentiated tumor of uncertain malignant potential
M8349/1	유두상 유사 핵 특징(NIFTP)을 동반한 비침범성 소포성 갑상선 신생물	Non-invasive follicular thyroid neoplasm with papillary-like nuclear features (NIFTP)
M8350/3	비피막형성형 경화성 암종	Nonencapsulated sclerosing carcinoma
M8360/1	다발성 내분비 선종	Multiple endocrine adenomas
M8361/0	방사구체성 종양	Juxtaglomerular tumour
M8370/0	부신피질 선종, NOS	Adrenal cortical adenoma, NOS
M8370/3	부신피질 암종	Adrenal cortical carcinoma
M8371/0	밀집세포형 부신피질 선종	Adrenal cortical adenoma, compact cell
M8372/0	색소성 부신피질 선종	Adrenal cortical adenoma, pigmented
M8373/0	투명세포형 부신피질 선종	Adrenal cortical adenoma, clear cell
M8374/0	사구체세포형 부신피질 선종	Adrenal cortical adenoma, glomerulosa cell
M8375/0	혼합세포형 부신피질 선종	Adrenal cortical adenoma, mixed cell
M8380/0	자궁내막모양 선종, NOS	Endometrioid adenoma, NOS
M8380/1	경계형 악성의 자궁내막모양 선종	Endometrioid adenoma, borderline malignancy
M8380/3	자궁내막모양 선암종, NOS	Endometrioid adenocarcinoma, NOS
M8381/0	자궁내막모양 선섬유종, NOS	Endometrioid adenofibroma, NOS
M8381/1	경계형 악성의 자궁내막모양 선섬유종	Endometrioid adenofibroma, borderline malignancy
M8381/3	악성 자궁내막모양 선섬유종	Endometrioid adenofibroma, malignant
M8382/3	분비성 변종 자궁내막모양 선암종	Endometrioid adenocarcinoma, secretory variant
M8383/3	섬모세포 변종 자궁내막모양 선암종	Endometrioid adenocarcinoma, ciliated cell variant
M8384/3	자궁경관내막형 선암종, NOS	Adenocarcinoma, endocervical type, NOS
M8390/0	피부부속물 선종	Skin appendage adenoma
M8390/3	부속기 선암종, NOS	Adnexal adenocarcinoma, NOS
M8391/0	소포성 섬유종	Follicular fibroma
M8392/0	한선섬유선종	Syringofibroadenoma
M8400/0	땀샘 선종	Sweat gland adenoma
M8400/1	땀샘 종양, NOS	Sweat gland tumour, NOS
M8400/3	땀샘 선암종	Sweat gland adenocarcinoma
M8401/0	아포크린 선종	Apocrine adenoma
M8401/3	아포크린 선암종	Apocrine adenocarcinoma
M8402/0	한선종, NOS	Hidradenoma, NOS
M8402/3	한선암종	Hidradenocarcinoma
M8403/0	한선종, NOS	Spiradenoma, NOS
