CODE	KOREAN_LABEL	ENGLISH_LABEL
M8900/3	횡문근육종, NOS	Rhabdomyosarcoma, NOS
M8901/3	성인형 다형성의 횡문근육종	Pleomorphic rhabdomyosarcoma, adult type
M8902/3	혼합형 횡문근육종	Mixed type rhabdomyosarcoma
M8903/0	태아 횡문근종	Fetal rhabdomyoma
M8904/0	성인형 세포성 횡문근종	Adult cellular rhabdomyoma
M8905/0	생식기 횡문근종	Genital rhabdomyoma
M8910/3	배아형 횡문근육종, NOS	Embryonal rhabdomyosarcoma, NOS
M8912/3	방추세포 횡문근육종	Spindle cell rhabdomyosarcoma
M8920/3	포상 횡문근육종	Alveolar rhabdomyosarcoma
M8921/3	외배엽중간엽종	Ectomesenchymoma
M8930/0	자궁내막 간질성 소결절	Endometrial stromal nodule
M8930/3	자궁내막 간질성 육종, NOS	Endometrial stromal sarcoma, NOS
M8931/3	저등급 자궁내막 간질성 육종	Endometrial stromal sarcoma, low grade
M8932/0	선근종, NOS	Adenomyoma, NOS
M8933/3	선육종	Adenosarcoma
M8934/3	암성섬유종	Carcinofibroma
M8935/0	양성 간질성 종양	Stromal tumour, benign
M8935/1	간질성 종양, NOS	Stromal tumour, NOS
M8935/3	간질성 육종, NOS	Stromal sarcoma, NOS
M8936/3	위장의 간질성 종양	Gastrointestinal stromal tumor
M8940/0	다형성 선종	Pleomorphic adenoma
M8940/3	악성 혼합형 종양, NOS	Mixed tumour, malignant, NOS
M8941/3	다형성 선종외 암종	Carcinoma ex pleomorphic adenoma
M8950/3	뮐러의 혼합성 종양	Mullerian mixed tumour
M8951/3	중배엽성 혼합성 종양	Mesodermal mixed tumour
M8959/0	양성 낭성 신종	Benign cystic nephroma
M8959/1	낭성 부분 분화된 신모세포종	Cystic partially differentiated nephroblastoma
M8959/3	악성 낭성 신종	Malignant cystic nephroma
M8960/1	중배엽성 신종	Mesoblastic nephroma
M8960/3	신모세포종, NOS	Nephroblastoma, NOS
M8963/3	간상 종양, NOS	Rhabdoid tumor, NOS
M8964/3	신장의 투명세포 육종	Clear cell sarcoma of kidney
M8966/0	신수질성 사이질성세포 종양	Renomedullary interstitial cell tumour
M8967/0	골화의 신장 종양	Ossifying renal tumour
M8970/3	간모세포종, NOS	Hepatoblastoma, NOS
M8971/3	췌장(이자)모세포종	Pancreatoblastoma
M8972/3	폐 모세포종	Pulmonary blastoma
M8973/3	가슴막폐 모세포종	Pleuropulmonary blastoma
M8974/1	침모세포종	Sialoblastoma
M8975/1	석회화 중첩 간질성-상피성 종양	Calcifying nested stromal-epithelial tumor
M8980/3	암육종, NOS	Carcinosarcoma, NOS
M8981/3	배아형 암육종	Carcinosarcoma, embryonal
M8982/0	근상피종	Myoepithelioma
M8982/3	근상피성 암종	Myoepithelial carcinoma
M8983/0	선근상피종, NOS	Adenomyoepithelioma, NOS
M8983/3	암종을 동반한 선근상피종	Adenomyoepithelioma with carcinoma
M8990/0	양성 간엽종	Mesenchymoma, benign
M8990/1	간엽종, NOS	Mesenchymoma, NOS
M8990/3	악성 간엽종	Mesenchymoma, malignant
M8991/3	배아형 육종	Embryonal sarcoma
M9000/0	브레너 종양, NOS	Brenner tumour, NOS
M9000/1	경계형 악성의 브레너 종양	Brenner tumour, borderline malignancy
M9000/3	악성 브레너 종양	Brenner tumour, malignant
M9010/0	섬유선종, NOS	Fibroadenoma, NOS
M9011/0	소관내 섬유선종	Intracanalicular fibroadenoma
M9012/0	소관주위 섬유선종	Pericanalicular fibroadenoma
M9013/0	선섬유종, NOS	Adenofibroma, NOS
M9014/0	장액성 선섬유종, NOS	Serous adenofibroma, NOS
M9014/1	경계형 악성의 장액성 선섬유종	Serous adenofibroma of borderline malignancy
M9014/3	장액성 선암섬유종	Serous adenocarcinofibroma
M9015/0	점액성 선섬유종, NOS	Mucinous adenofibroma, NOS
M9015/1	경계형 악성의 점액성 선섬유종	Mucinous adenofibroma of borderline malignancy
M9015/3	점액성 선암섬유종	Mucinous adenocarcinofibroma
M9016/0	거대 섬유선종	Giant fibroadenoma
M9020/0	양성 엽상 종양	Phyllodes tumour, benign
M9020/1	경계형 엽상 종양	Phyllodes tumour, borderline
M9020/3	악성 엽상 종양	Phyllodes tumour, malignant
M9030/0	연소성 섬유선종	Juvenile fibroadenoma
M9040/0	양성 윤활막종	Synovioma, benign
M9040/3	윤활막 육종, NOS	Synovial sarcoma, NOS
M9041/3	방추세포형 윤활막 육종	Synovial sarcoma, spindle cell
M9042/3	상피모양 세포형 윤활막 육종	Synovial sarcoma, epithelioid cell
M9043/3	이상형 윤활막 육종	Synovial sarcoma, biphasic
M9044/3	투명세포 육종(신장의 M8964/3 제외), NOS	Clear cell sarcoma(except of kidney M8964/3), NOS
M9045/3	이중표현형 비부비동 육종	Biphenotypic sinonasal sarcoma
M9050/0	양성 중피종	Mesothelioma, benign
M9050/3	악성 중피종	Mesothelioma, malignant
M9051/0	양성 섬유성 중피종	Fibrous mesothelioma, benign
M9051/3	악성 섬유성 중피종	Fibrous mesothelioma, malignant
M9052/0	양성 상피모양 중피종	Epithelioid mesothelioma, benign
M9052/1	흉막의 고분화된 유두상 중피종	Well differentiated papillary mesothelioma of pleura
M9052/3	악성 상피모양 중피종	Epithelioid mesothelioma, malignant
M9053/3	악성 이상형 중피종	Mesothelioma, biphasic, malignant
M9054/0	선종양 종양, NOS	Adenomatoid tumour, NOS
M9060/3	미분화 세포종	Dysgerminoma
M9061/3	고환종, NOS	Seminoma, NOS
M9062/3	역형성의 고환종	Seminoma, anaplastic
M9063/3	정모세포성 고환종	Spermatocytic seminoma
M9064/2	관내 악성 생식세포	Intratubular malignant germ cells
M9064/3	배아종	Germinoma
M9065/3	비고환종성 생식세포 종양	Germ cell tumour, nonseminomatous
M9070/3	배아형 암종, NOS	Embryonal carcinoma, NOS
M9071/3	난황 낭 종양, NOS	Yolk sac tumour, NOS
M9072/3	다배아종	Polyembryoma
M9073/1	생식선모세포종	Gonadoblastoma
M9080/0	양성 기형종	Teratoma, benign
M9080/1	기형종, NOS	Teratoma, NOS
M9080/3	악성 기형종, NOS	Teratoma, malignant, NOS
M9081/3	기형암종	Teratocarcinoma
M9082/3	미분화된 악성 기형종	Malignant teratoma, undifferentiated
M9083/3	중간형 악성 기형종	Malignant teratoma, intermediate
M9084/0	유피낭, NOS	Dermoid cyst, NOS
M9084/3	악성 전환을 동반한 기형종	Teratoma with malignant transformation
M9085/3	혼합된 생식세포 종양	Mixed germ cell tumour
M9086/3	혈액학적 악성 관련을 동반한 배아세포 종양	Germ cell tumor with associated haematological malignancy
M9090/0	난소갑상선종, NOS	Struma ovarii, NOS
M9090/3	악성 난소갑상선종	Struma ovarii, malignant
M9091/1	갑상샘종성 카르시노이드	Strumal carcinoid
M9100/0	포상기태, NOS	Hydatidiform mole, NOS
M9100/1	침습성 포상기태	Invasive hydatidiform mole
M9100/3	융모막암종, NOS	Choriocarcinoma, NOS
M9101/3	기타 생식세포 요소를 동반한 복합융모막암종	Choriocarcinoma combined with other germ cell elements
M9102/3	영양막성 악성 기형종	Malignant teratoma, trophoblastic
M9103/0	부분적 포상기태	Partial hydatidiform mole
M9104/1	태반부위 영양막 종양	Placental site trophoblastic tumour
M9105/3	상피모양의 영양막 종양	Trophoblastic tumour, epithelioid
M9110/0	난소망의 선종	Adenoma of rete ovarii
M9110/1	볼프 종양	Wolffian tumor
M9110/3	악성 중신종	Mesonephroma, malignant
M9120/0	혈관종, NOS	Haemangioma, NOS
M9120/3	혈관육종	Haemangiosarcoma
M9121/0	해면상 혈관종	Cavernous haemangioma
M9122/0	정맥성 혈관종	Venous haemangioma
M9123/0	포도상 혈관종	Racemose haemangioma
M9124/3	쿠퍼세포육종	Kupffer cell sarcoma
M9125/0	상피모양 혈관종	Epithelioid haemangioma
M9130/0	양성 혈관내피종	Haemangioendothelioma, benign
M9130/1	혈관내피종, NOS	Haemangioendothelioma, NOS
M9130/3	악성 혈관내피종	Haemangioendothelioma, malignant
M9131/0	모세관성 혈관종	Capillary haemangioma
M9132/0	근육내 혈관종	Intramuscular haemangioma
M9133/3	상피모양 혈관내피종, NOS	Epithelioid hemangioendothelioma, NOS
M9135/1	유두상 림프내 혈관내피종	Papillary intralymphatic angioendothelioma
M9136/1	방추세포 혈관내피종	Spindle cell haemangioendothelioma
M9137/0	근내막종	Myointimoma
M9137/3	내막 육종	Intimal sarcoma
M9138/1	거짓근원성(상피모양 육종-유사) 혈관내피종	Pseudomyogenic(epithelioid sarcoma-like) haemangioendothelioma
M9140/3	카포시육종	Kaposi sarcoma
M9141/0	각화혈관종	Angiokeratoma
M9142/0	사마귀모양의 각화성 혈관종	Verrucous keratotic haemangioma
M9160/0	혈관섬유종, NOS	Angiofibroma, NOS
M9161/0	후천성 토리 혈관종	Acquired tufted haemangioma
M9161/1	혈관모세포종	Haemangioblastoma
M9170/0	림프관종, NOS	Lymphangioma, NOS
M9170/3	림프관육종	Lymphangiosarcoma
M9171/0	모세관성 림프관종	Capillary lymphangioma
M9172/0	해면상 림프관종	Cavernous lymphangioma
M9173/0	낭성 림프관종	Cystic lymphangioma
M9174/0	림프관근종	Lymphangiomyoma
M9174/1	림프관평활근종증	Lymphangioleiomyomatosis
M9175/0	혈림프관종	Haemolymphangioma
M9180/0	골종, NOS	Osteoma, NOS
M9180/3	골육종, NOS	Osteosarcoma, NOS
M9181/3	연골모세포성 골육종	Chondroblastic osteosarcoma
M9182/3	섬유모세포성 골육종	Fibroblastic osteosarcoma
M9183/3	모세혈관 확장성 골육종	Telangiectatic osteosarcoma
M9184/3	뼈의 파제트병에서 온 골육종	Osteosarcoma in Paget disease of bone
M9185/3	소세포 골육종	Small cell osteosarcoma
M9186/3	중심성 골육종, NOS	Central osteosarcoma, NOS
M9187/3	저등급 중심성 골육종	Low grade central osteosarcoma
M9191/0	골모양의 골종, NOS	Osteoid osteoma, NOS
M9192/3	골막주위의 골육종	Parosteal osteosarcoma
M9193/3	골막의 골육종	Periosteal osteosarcoma
M9194/3	고 등급 표면 골육종	High grade surface osteosarcoma
M9195/3	피질내 골육종	Intracortical osteosarcoma
M9200/0	골모세포종, NOS	Osteoblastoma, NOS
M9200/1	공격성 골모세포종	Aggressive osteoblastoma
M9210/0	골연골종	Osteochondroma
M9210/1	골연골종증, NOS	Osteochondromatosis, NOS
M9211/0	골연골점액종	Osteochondromyxoma
M9212/0	특이한 골막주위의 골연골종성 증식	Bizarre parosteal osteochondromatous proliferation
M9220/0	연골종, NOS	Chondroma, NOS
M9220/1	연골종증, NOS	Chondromatosis, NOS
M9220/3	연골육종, NOS	Chondrosarcoma, NOS
M9221/0	골막의 연골종	Periosteal chondroma
M9221/3	골막의 연골육종	Periosteal chondrosarcoma
M9222/1	비정형적 연골성 종양	Atypical cartilaginous tumor
M9230/1	연골모세포종, NOS	Chondroblastoma, NOS
M9230/3	악성 연골모세포종	Chondroblastoma, malignant
M9231/3	점액모양 연골육종	Myxoid chondrosarcoma
M9240/3	간엽성 연골육종	Mesenchymal chondrosarcoma
M9241/0	연골점액모양의 섬유종	Chondromyxoid fibroma
M9242/3	투명세포 연골육종	Clear cell chondrosarcoma
M9243/3	역분화된 연골육종	Dedifferentiated chondrosarcoma
M9250/1	뼈의 거대세포 종양, NOS	Giant cell tumour of bone, NOS
M9250/3	뼈의 악성 거대세포 종양	Giant cell tumour of bone, malignant
M9251/1	연부의 거대세포 종양, NOS	Giant cell tumour of soft parts, NOS
M9251/3	연부의 악성 거대세포 종양	Malignant giant cell tumour of soft parts
M9252/0	힘줄 윤활막 거대세포 종양, NOS	Tenosynovial giant cell tumour, NOS
M9252/1	미만성 힘줄윤활막 거대세포 종양	Tenosynovial giant cell tumor, diffuse
M9252/3	악성 힘줄 윤활막 거대세포 종양	Malignant tenosynovial giant cell tumour
M9261/3	긴뼈의 에나멜상피종	Adamantinoma of long bones
M9262/0	골화성 섬유종	Ossifying fibroma
M9270/0	양성 치원성 종양	Odontogenic tumour, benign
M9270/1	치원성 종양, NOS	Odontogenic tumour, NOS
M9270/3	악성 치원성 종양	Odontogenic tumour, malignant
M9271/0	에나멜모세포성 섬유상아종	Ameloblastic fibrodentinoma
M9272/0	백악질(시멘트질)종, NOS	Cementoma, NOS
M9273/0	양성 백악질(시멘트질)모세포종	Cementoblastoma, benign
M9274/0	시멘트질-골화 섬유종	Cemento-ossifying fibroma
M9275/0	거대형 백악질(시멘트질)종	Gigantiform cementoma
M9280/0	치아종, NOS	Odontoma, NOS
M9281/0	화합물 치아종	Compound odontoma
M9282/0	복합성 치아종	Complex odontoma
M9290/0	에나멜모세포성 섬유-치아종	Ameloblastic fibro-odontoma
M9290/3	에나멜모세포성 치아육종	Ameloblastic odontosarcoma
M9300/0	선종양 치원성 종양	Adenomatoid odontogenic tumour
M9301/0	석회화 치원성 낭	Calcifying odontogenic cyst
M9302/0	상아질형성의 유령세포 종양	Dentinogenic ghost cell tumor
M9302/3	유령세포 치원성 암종	Ghost cell odontogenic carcinoma
M9310/0	에나멜모세포종, NOS	Ameloblastoma, NOS
M9310/3	전이성 에나멜모세포종	Ameloblastoma, metastasizing
M9311/0	치아에나멜모세포종	Odontoameloblastoma
M9312/0	편평 치원성 종양	Squamous odontogenic tumour
M9320/0	치원성 점액종	Odontogenic myxoma
M9321/0	치원성 섬유종, NOS	Odontogenic fibroma, NOS
M9322/0	말초 치원성 섬유종	Peripheral odontogenic fibroma
M9330/0	에나멜모세포성 섬유종	Ameloblastic fibroma
M9330/3	에나멜모세포성 섬유육종	Ameloblastic fibrosarcoma
M9340/0	석회화 상피성 치원성 종양	Calcifying epithelial odontogenic tumour
M9341/3	투명세포 치원성 암종	Clear cell odontogenic carcinoma
M9342/3	치원성 암육종	Odontogenic carcinosarcoma
M9350/1	두개인두종	Craniopharyngioma
M9351/1	에나멜상피종성 두개인두종	Craniopharyngioma, adamantinomatous
M9352/1	유두상 두개인두종	Craniopharyngioma, papillary
M9360/1	송과체종	Pinealoma
M9361/1	송과체세포종	Pineocytoma
M9362/3	송과체모세포종	Pineoblastoma
M9363/0	흑색증성 신경외배엽성 종양	Melanotic neuroectodermal tumour
M9364/3	유잉 육종	Ewing sarcoma
M9365/3	아스킨 종양	Askin tumour
M9370/0	양성 척삭세포 종양	Benign notochordal cell tumor
M9370/3	척삭종, NOS	Chordoma, NOS
M9371/3	연골모양 척삭종	Chondroid chordoma
M9372/3	역분화된 척삭종	Dedifferentiated chordoma
M9373/0	척삭주위종	Parachordoma
M9380/3	악성 신경교종	Glioma, malignant
M9381/3	대뇌신경교종증	Gliomatosis cerebri
M9382/3	희소성상세포종, NOS	Oligoastrocytoma, NOS
M9383/1	뇌실막밑세포종	Subependymoma
M9384/1	뇌실막밑 거대세포 성상세포종	Subependymal giant cell astrocytoma
M9385/3	H3 K27M-돌연변이 미만성 중간선 신경교종	Diffuse midline glioma, H3 K27M-mutant
M9390/0	맥락막 얼기 유두종, NOS	Choroid plexus papilloma, NOS
M9390/1	비정형적 맥락막 얼기 유두종	Atypical choroid plexus papilloma
M9390/3	맥락막 얼기 암종	Choroid plexus carcinoma
M9391/1	안장 뇌실막세포종	Sellar ependymoma
M9391/3	뇌실막세포종, NOS	Ependymoma, NOS
M9392/3	역형성의 뇌실막세포종	Ependymoma, anaplastic
M9393/3	유두상 뇌실막세포종	Papillary ependymoma
M9394/1	점액유두상 뇌실막세포종	Myxopapillary ependymoma
M9395/3	송과선 부분의 유두상 종양	Papillary tumor of pineal region
M9396/3	RELA 유합-양성 뇌실막세포종	Ependymoma, RELA fusion positive
M9400/3	성상세포종, NOS	Astrocytoma, NOS
M9401/3	역형성의 성상세포종, NOS	Astrocytoma, anaplastic, NOS
M9410/3	원형질성 성상세포종, NOS	Protoplasmic astrocytoma, NOS
M9411/3	팽대세포성 성상세포종, NOS	Gemistocytic astrocytoma, NOS
M9412/1	결합조직형성 영아의 성상세포종	Desmoplastic infantile astrocytoma
M9413/0	배아형성장애 신경상피성 종양	Dysembryoplastic neuroepithelial tumour
M9420/3	원섬유성 성상세포종	Fibrillary astrocytoma
M9421/1	모양세포성 성상세포종	Pilocytic astrocytoma
M9423/3	극성 해면모세포종	Polar spongioblastoma
M9424/3	다형성의 황색성상세포종, NOS	Pleomorphic xanthoastrocytoma, NOS
M9425/3	모양점액성 성상세포종	Pilomyxoid astrocytoma
M9430/3	성상모세포종	Astroblastoma
M9431/1	혈관중심성 신경교종	Angiocentric glioma
M9432/1	뇌하수체종	Pituicytoma
M9440/3	교모세포종 NOS	Glioblastoma, NOS
M9441/3	거대세포 교모세포종	Giant cell glioblastoma
M9442/1	교섬유종	Gliofibroma
M9442/3	신경교육종	Gliosarcoma
M9444/1	척삭모양 신경교종	Chordoid glioma
M9445/3	동위구연산염 탈수소효소(IDH)-돌연변이 교모세포종	Glioblastoma, IDH-mutant
M9450/3	희소돌기아교세포종, NOS	Oligodendroglioma, NOS
M9451/3	역형성의 희소돌기아교세포종, NOS	Oligodendroglioma, anaplastic, NOS
M9460/3	희소돌기아교모세포종	Oligodendroblastoma
M9470/3	수모세포종, NOS	Medulloblastoma, NOS
M9471/3	결합조직형성 결절성 수모세포종	Desmoplastic nodular medulloblastoma
M9472/3	수질근육모세포종	Medullomyoblastoma
M9473/3	중추신경계통(CNS) 배아형 종양, NOS	CNS embryonal tumor, NOS
M9474/3	대세포 수모세포종	Large cell medulloblastoma
M9475/3	WNT-활성 수모세포종, NOS	Medulloblastoma, WNT-activated, NOS
M9476/3	SHH-활성 및 TP53-돌연변이 수모세포종	Medulloblastoma, SHH-activated and TP53-mutant
M9477/3	비-WNT/비-SHH 수모세포종	Medulloblastoma, non-WNT/non-SHH
M9478/3	C19MC 변화가 있는 다층의 장미모양을 동반한 배아형 종양	Embryonal tumor with multilayered rosettes with C19MC alteration
M9480/3	소뇌육종, NOS	Cerebellar sarcoma, NOS
M9490/0	신경절신경종	Ganglioneuroma
M9490/3	신경절신경모세포종	Ganglioneuroblastoma
M9491/0	신경절신경종증	Ganglioneuromatosis
M9492/0	신경절세포종, NOS	Gangliocytoma, NOS
M9493/0	소뇌의 형성이상 신경절세포종	Dysplastic gangliocytoma of cerebellum (Lhermitte-Duclos)
M9500/3	신경모세포종, NOS	Neuroblastoma, NOS
M9501/0	양성 수질상피종	Medulloepithelioma, benign
M9501/3	수질상피종, NOS	Medulloepithelioma, NOS
M9502/0	양성 기형모양 수질상피종	Teratoid medulloepithelioma, benign
M9502/3	기형모양 수질상피종, NOS	Teratoid medulloepithelioma, NOS
M9503/3	신경상피종, NOS	Neuroepithelioma, NOS
M9504/3	해면신경모세포종	Spongioneuroblastoma
M9505/1	신경절교종, NOS	Ganglioglioma, NOS
M9505/3	역형성의 신경절교종	Ganglioglioma, anaplastic
M9506/1	중심성 신경세포종	Central neurocytoma
M9507/0	파치니 종양	Pacinian tumour
M9508/3	비정형 기형모양/간상의 종양	Atypical teratoid/rhabdoid tumour
M9509/1	유두상 교신경성 종양	Papillary glioneuronal tumor
M9510/0	망막세포종	Retinocytoma
M9510/3	망막모세포종, NOS	Retinoblastoma, NOS
M9511/3	분화된 망막모세포종	Retinoblastoma, differentiated
M9512/3	미분화된 망막모세포종	Retinoblastoma, undifferentiated
M9513/3	미만성 망막모세포종	Retinoblastoma, diffuse
M9514/1	자연퇴행된 망막모세포종	Retinoblastoma, spontaneously regressed
M9520/3	후각 신경인성 종양	Olfactory neurogenic tumour
M9521/3	후각 신경세포종	Olfactory neurocytoma
M9522/3	후각 신경모세포종	Olfactory neuroblastoma
M9523/3	후각 신경상피종	Olfactory neuroepithelioma
M9530/0	수막종, NOS	Meningioma, NOS
M9530/3	악성 수막종	Meningioma, malignant
M9531/0	수막세포성 수막종	Meningothelial meningioma
M9532/0	섬유성 수막종	Fibrous meningioma
M9533/0	사종성 수막종	Psammomatous meningioma
M9534/0	혈관종성 수막종	Angiomatous meningioma
M9535/0	혈관모세포성 수막종	Haemangioblastic meningioma
M9537/0	이행성 수막종	Transitional meningioma
M9538/1	투명세포 수막종	Clear cell meningioma
M9538/3	유두상 수막종	Papillary meningioma
M9539/1	비정형적 수막종	Atypical meningioma
M9539/3	수막성 육종증	Meningeal sarcomatosis
M9540/0	신경섬유종, NOS	Neurofibroma, NOS
M9540/3	악성 말초 신경집 종양, NOS	Malignant peripheral nerve sheath tumour, NOS
M9541/0	흑색증의 신경섬유종	Melanotic neurofibroma
M9542/3	상피모양 악성 말초 신경집 종양	Malignant peripheral nerve sheath tumor, epithelioid
M9550/0	총상 신경섬유종	Plexiform neurofibroma
M9560/0	신경초종, NOS	Schwannoma, NOS
M9560/1	멜라닌성 신경초종	Melanotic schwannoma
M9560/3	악성 신경(섬유)초종	Neurilemmoma, malignant
M9561/3	횡문근모세포성 분화를 동반한 악성 말초 신경집 종양	Malignant peripheral nerve sheath tumour with rhabdomyoblastic differentiation
M9562/0	신경집 점액종	Nerve sheath myxoma
M9563/0	신경집 종양, NOS	Nerve sheath tumor, NOS
M9570/0	신경종, NOS	Neuroma, NOS
M9571/0	신경다발막종, NOS	Perineurioma, NOS
M9571/3	악성 신경다발막종	Perineurioma, malignant
M9580/0	과립 세포 종양(안장부위의 M9582/0 제외), NOS	Granular cell tumour(except of sellar region M9582/0), NOS
M9580/3	악성 과립 세포 종양	Granular cell tumour, malignant
M9581/3	포상 연조직 육종	Alveolar soft part sarcoma
M9582/0	안장부위 과립 세포 종양	Granular cell tumour of the sellar region
